t,c_in
0,5.59E-07
0.594,5.49E-07
1.187,6.18E-07
1.781,5.08E-07
2.359,4.82E-07
2.953,6.13E-07
3.547,5.06E-07
4.125,5.10E-07
4.719,5.25E-07
5.312,5.42E-07
5.89,5.76E-07
6.469,5.69E-07
7.047,5.76E-07
7.625,5.36E-07
8.203,5.50E-07
8.781,5.60E-07
9.375,6.26E-07
9.953,4.95E-07
10.531,5.32E-07
11.125,5.38E-07
11.703,5.25E-07
12.281,5.34E-07
12.859,5.80E-07
13.437,5.19E-07
14.015,5.31E-07
14.594,5.07E-07
15.172,5.32E-07
15.75,5.34E-07
16.344,5.17E-07
16.937,4.56E-07
17.531,5.49E-07
18.109,5.58E-07
18.687,5.49E-07
19.265,5.33E-07
19.859,5.57E-07
20.437,5.31E-07
21.015,5.38E-07
21.609,5.67E-07
22.172,5.99E-07
22.765,5.62E-07
23.344,5.42E-07
23.922,5.37E-07
24.515,5.08E-07
25.109,6.40E-07
25.687,5.80E-07
26.25,5.26E-07
26.828,5.29E-07
27.422,5.46E-07
28,6.13E-07
28.578,6.03E-07
29.172,5.71E-07
29.75,5.66E-07
30.344,5.60E-07
30.922,5.31E-07
31.5,5.48E-07
32.094,5.56E-07
32.672,5.35E-07
33.25,5.73E-07
33.828,5.66E-07
34.406,5.31E-07
35,5.74E-07
35.578,5.64E-07
36.156,6.37E-07
36.75,6.00E-07
37.344,5.19E-07
37.937,5.44E-07
38.515,6.27E-07
39.094,5.91E-07
39.687,4.65E-07
40.265,5.09E-07
40.844,5.29E-07
41.437,5.63E-07
42.031,5.75E-07
42.625,5.57E-07
43.203,5.08E-07
43.797,5.84E-07
44.375,5.25E-07
44.953,5.72E-07
45.531,5.41E-07
46.125,6.02E-07
46.703,6.06E-07
47.281,5.56E-07
47.875,4.95E-07
48.453,5.94E-07
49.031,5.66E-07
49.625,6.00E-07
50.203,6.03E-07
50.781,5.41E-07
51.375,5.86E-07
51.953,4.99E-07
52.531,6.00E-07
53.109,5.44E-07
53.703,5.21E-07
54.281,7.42E-07
54.859,1.48E-06
55.453,4.99E-06
56.031,1.56E-05
56.609,4.37E-05
57.187,0.000104674
57.765,0.000224926
58.359,0.000440337
58.937,0.000790637
59.515,0.00135904
60.094,0.002135435
60.672,0.003154307
61.234,0.004423219
61.812,0.005992597
62.406,0.0077585
62.984,0.009614601
